name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Garret Kelly,Jr,UC Davis,OF,107,0.342,13.893,-1.194,0.707,0.355,0.352,0.273,0.079,0.387,0.243,0.084,0.0
Hunter Lipscomb,Jr,Winthrop,OF,197,0.342,25.578,-2.199,0.71,0.345,0.365,0.253,0.112,0.333,0.249,0.107,0.015
Austin Wilhite,So,Georgia Tech,INF,242,0.341,31.195,-2.927,0.735,0.331,0.404,0.249,0.155,0.313,0.24,0.095,0.025
Kevin Huscher,Jr,Quinnipiac,P,122,0.341,15.727,-1.475,0.704,0.361,0.343,0.284,0.059,0.333,0.156,0.066,0.008
Blake Sabol,So,Southern California,C,232,0.341,29.906,-2.806,0.726,0.336,0.39,0.276,0.114,0.327,0.181,0.082,0.017
Alex Sala,Jr,Austin Peay,C,127,0.341,16.371,-1.536,0.709,0.339,0.37,0.19,0.18,0.208,0.197,0.189,0.031
Jackson Olson,So,Hartford,INF,216,0.341,27.844,-2.612,0.731,0.343,0.388,0.303,0.085,0.366,0.167,0.056,0.005
Justin Jenkins,So,Iowa,OF,183,0.341,23.59,-2.213,0.681,0.366,0.315,0.245,0.07,0.343,0.246,0.137,0.005
Patrick Cromwell,Sr,Clemson,INF,243,0.341,31.324,-2.939,0.704,0.346,0.358,0.224,0.134,0.281,0.247,0.148,0.029
Austin Bogart,So,Stetson,OF,120,0.341,15.469,-1.451,0.722,0.342,0.38,0.26,0.12,0.329,0.242,0.092,0.017
Chase Bushor,Jr,Southern California,INF,197,0.341,25.395,-2.382,0.727,0.345,0.382,0.301,0.081,0.381,0.203,0.071,0.005
Jack Anderson,Sr,Oregon St.,OF,198,0.341,25.524,-2.394,0.702,0.369,0.333,0.268,0.065,0.331,0.162,0.106,0.0
J.C. Flowers,So,Florida St.,OF,144,0.341,18.563,-1.741,0.648,0.375,0.273,0.218,0.055,0.289,0.194,0.153,0.0
Aaron Goecks,So,SIUE,INF,184,0.341,23.719,-2.225,0.733,0.332,0.401,0.237,0.164,0.337,0.332,0.136,0.027
Robert Salazar,Jr,Abilene Christian,INF,158,0.341,20.367,-1.911,0.722,0.335,0.387,0.282,0.105,0.333,0.152,0.051,0.006
Joseph Duncan,Sr,Eastern Ill.,OF,263,0.341,33.903,-3.18,0.724,0.342,0.382,0.271,0.111,0.314,0.144,0.095,0.011
Korey Lee,So,California,C,123,0.341,15.856,-1.487,0.751,0.325,0.426,0.238,0.188,0.241,0.179,0.106,0.041
Jeff Timko,Fr,Eastern Mich.,INF,210,0.341,27.07,-2.54,0.669,0.367,0.302,0.244,0.058,0.412,0.338,0.133,0.0
Ben Cooley,Sr,North Ala.,OF,204,0.341,26.297,-2.467,0.713,0.353,0.36,0.255,0.105,0.297,0.157,0.123,0.015
Kevin Collard,Jr,San Diego,OF,155,0.341,19.981,-1.874,0.744,0.329,0.415,0.268,0.147,0.347,0.258,0.065,0.019
Charlie Maxwell,So,Northwestern,INF,164,0.341,21.141,-1.983,0.714,0.335,0.379,0.236,0.143,0.301,0.213,0.11,0.012
Tate Shaw,Jr,Texas,OF,252,0.34,32.25,-3.282,0.709,0.345,0.364,0.252,0.112,0.313,0.175,0.091,0.0
Reid Bourque,Fr,McNeese,INF,243,0.34,31.098,-3.165,0.705,0.354,0.351,0.267,0.084,0.315,0.165,0.119,0.012
Brayden Merritt,Fr,New Mexico,OF,156,0.34,19.964,-2.032,0.732,0.346,0.386,0.293,0.093,0.333,0.147,0.064,0.013
David Marcano,Fr,NJIT,INF,188,0.34,24.06,-2.448,0.701,0.356,0.345,0.291,0.054,0.356,0.176,0.085,0.005
Christian Jones,So,Washington,OF,184,0.34,23.548,-2.396,0.717,0.337,0.38,0.264,0.116,0.357,0.261,0.092,0.011
Will Ray,Sr,Marshall,INF,181,0.34,23.164,-2.357,0.718,0.343,0.375,0.275,0.1,0.323,0.177,0.083,0.017
Chase Dawson,Jr,Valparaiso,OF,268,0.34,34.298,-3.49,0.725,0.336,0.389,0.265,0.124,0.294,0.119,0.09,0.011
Dwayne Marshall,So,UMES,P,149,0.34,19.069,-1.94,0.722,0.342,0.38,0.307,0.073,0.368,0.174,0.054,0.0
Bailey Montgomery,Jr,Western Ill.,INF,177,0.34,22.652,-2.305,0.712,0.356,0.356,0.288,0.068,0.331,0.13,0.096,0.006
Jacob Williamson,So,Navy,INF,237,0.34,30.33,-3.087,0.727,0.333,0.394,0.274,0.12,0.335,0.207,0.084,0.008
Caleb Van Blake,Jr,UC Davis,INF,230,0.34,29.435,-2.995,0.728,0.33,0.398,0.264,0.134,0.27,0.096,0.074,0.022
Tyler Zabojnik,Sr,Air Force,INF,253,0.34,32.378,-3.295,0.711,0.344,0.367,0.284,0.083,0.337,0.162,0.063,0.008
Grant English,Jr,Winthrop,INF,130,0.34,16.637,-1.693,0.735,0.323,0.412,0.277,0.135,0.33,0.177,0.062,0.008
Tim Zeng,Jr,Fairfield,OF,159,0.34,20.348,-2.071,0.686,0.358,0.328,0.254,0.074,0.312,0.17,0.145,0.0
